n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
5,(2016 CD30),2016 CD30,10.5315599458023,-5.53,5.82148302e-05,2056-2105,0,0.0099,27.66,2457429.5,-5.50,bK16C30D,2016-02-11
6,(2016 CY135),2016 CY135,6.74286032489329,-6.29,1.93048e-06,2103-2119,0,0.043,24.47,2457608.5,-5.85,bK16CD5Y,2016-08-08
2,(2019 KT),2019 KT,11.7180418111146,-7.80,1.9038e-07,2110-2110,0,0.017,26.56,2458630.5,-7.71,bK19K00T,2019-05-27
3,(2017 RU2),2017 RU2,7.73014967358903,-6.85,6.046825e-07,2093-2114,0,0.024,25.77,2458017.5,-6.85,bK17R02U,2017-09-21
31,(2017 WY27),2017 WY27,8.09835665000518,-7.95,2.6027085e-06,2064-2122,0,0.0091,27.86,2458085.5,-7.26,bK17W27Y,2017-11-28
4,(2017 YD1),2017 YD1,2.66760217341109,-8.55,2.5443875e-06,2102-2121,0,0.0034,29.97,2458117.5,-8.44,bK17Y01D,2017-12-30
101,(2010 UY7),2010 UY7,3.86757417069801,-6.13,0.000243524707,2066-2121,0,0.0067,28.53,2455506.5,-5.68,bK10U07Y,2010-11-06
2,(2011 QF48),2011 QF48,19.9176755538866,-6.45,3.1956e-07,2067-2067,0,0.03,25.28,2455825.5,-6.32,bK11Q48F,2011-09-21
5,(2013 TX68),2013 TX68,14.3075181965804,-6.27,5.2345e-08,2027-2108,0,0.03,25.25,2456574.5,-6.24,bK13T68X,2013-10-09
1,(2014 EC),2014 EC,15.77,-9.74,9.329e-09,2119-2119,0,0.0076,28.24,2456722.5,-9.74,bK14E00C,2014-03-06
177,(2014 LJ),2014 LJ,3.61638147161128,-7.81,2.54443647e-05,2060-2122,0,0.0067,28.51,2456838.5,-6.65,bK14L00J,2014-06-30
15,(2016 JA6),2016 JA6,11.3372469335951,-6.45,4.886504e-06,2081-2118,0,0.018,26.35,2457527.5,-6.18,bK16J06A,2016-05-19
5,(2004 FY3),2004 FY3,11.7839471458232,-6.69,7.8026e-07,2116-2122,0,0.032,25.11,2453094.5,-6.45,bK04F03Y,2004-03-30
2,(2017 QJ2),2017 QJ2,19.2209973045822,-8.42,1.5582e-09,2033-2045,0,0.019,26.24,2457985.5,-8.41,bK17Q02J,2017-08-20
