des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2019 UT5,0.0071,(2019 UT5),28.40,bK19U05T,5.226e-08,2019-10-29,2458785.5,2,-8.63,-8.85,2056-2056,0,14.4239494833525
2020 SC,0.016,(2020 SC),26.69,bK20S00C,6.348e-09,2020-09-20,2459112.5,1,-8.91,-8.91,2102-2102,0,21.90
2019 DX,0.013,(2019 DX),27.00,bK19D00X,1.01364351e-05,2019-03-03,2458545.5,23,-6.09,-6.34,2051-2119,0,12.3923376011158
2020 AC1,0.007,(2020 AC1),28.42,bK20A01C,4.66186e-06,2020-01-14,2458862.5,14,-7.40,-8.03,2096-2121,0,6.24867008018259
2013 XS21,0.0045,(2013 XS21),29.38,bK13X21S,8.8125e-06,2013-12-14,2456640.5,12,-7.41,-7.67,2079-2111,0,7.50346106099291
2014 QN266,0.019,(2014 QN266),26.21,bK14QQ6N,1.95358e-06,2014-10-29,2456959.5,7,-6.63,-6.77,2078-2120,0,2.84821845022983
2015 BE511,0.00628,(2015 BE511),28.67,bK15Bp1E,5.141637e-05,2015-01-28,2457050.5,9,-6.09,-6.23,2057-2111,0,9.86044586578166
2015 HE183,0.0078,(2015 HE183),28.20,bK15HI3E,1.291812e-07,2015-04-26,2457138.5,3,-8.49,-8.49,2086-2114,0,13.5788495384777
2008 UA92,0.012,(2008 UA92),27.30,bK08U92A,1.308e-06,2008-10-30,2454769.5,1,-7.13,-7.13,2078-2078,0,8.38
2006 UQ216,0.012,(2006 UQ216),27.29,bK06UL6Q,4.5181614e-06,2006-11-01,2454040.5,23,-6.83,-7.16,2061-2120,0,3.73203516678266
2008 EZ84,0.02,(2008 EZ84),26.16,bK08E84Z,0.0001932788727,2008-03-15,2454540.5,16,-4.38,-4.68,2072-2122,0,7.91442385443404
2010 JH110,0.019,(2010 JH110),26.29,bK10JB0H,0.00010780762,2010-06-18,2455365.5,5,-4.83,-4.97,2071-2102,0,8.06986708546205
2008 HC38,0.02,(2008 HC38),26.10,bK08H38C,5.5836e-08,2008-05-08,2454594.5,3,-6.77,-6.79,2029-2086,0,14.0526685292643
2009 WQ25,0.053,(2009 WQ25),24.03,bK09W25Q,2.3785e-07,2009-11-27,2455162.5,2,-6.16,-6.25,2094-2106,0,16.8860227033845
2020 BB5,0.0039,(2020 BB5),29.68,bK20B05B,0.000245646181,2020-01-31,2458879.5,16,-6.16,-6.18,2092-2121,0,8.82074171607008
2019 JO1,0.012,(2019 JO1),27.25,bK19J01O,3.986527e-05,2019-05-10,2458613.5,3,-5.02,-5.04,2044-2052,0,18.228488273126
2019 FE,0.05,(2019 FE),24.17,bK19F00E,5.5689e-06,2019-05-10,2458613.5,3,-5.13,-5.16,2095-2118,0,9.92967569897107
2007 EO88,0.018,(2007 EO88),26.43,bK07E88O,8.682944e-06,2007-03-18,2454177.5,22,-5.93,-6.46,2073-2111,0,10.9533543772711
2007 UN12,0.0059,(2007 UN12),28.79,bK07U12N,0.00039570904,2021-01-13,2459227.5,27,-5.68,-6.16,2089-2122,0,1.5672916701625
2007 KO4,0.0756,(2007 KO4),23.26,bK07K04O,1.8735353e-06,2007-05-25,2454245.5,35,-4.40,-4.91,2030-2113,0,13.7771406826442
2022 GF17,0.016,(2022 GF17),26.66,bK22G17F,1.647837e-06,2022-04-10,2459679.5,9,-6.72,-7.01,2076-2122,0,15.7386743895179
